temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,angle_of_incidence,azimuth,generated_power_kw
2.17,31,1035,0,0,6.37,312.71,58.753108,128.33543,454.10095
2.31,27,1035.1,0,0,5.15,294.78,45.408585,139.6553,1411.9994
3.65,33,1035.4,0,0,4.68,270,32.848282,152.53769,2214.8493
5.82,30,1035.4,0,0,3.6,323.13,22.699288,166.90159,2527.6092
7.73,27,1034.4,0,0,6.21,10.01,19.199908,182.13526,2640.2034
8.69,29,1034.6,0,0,6.29,23.63,25.088167,197.22062,2546.0816
9.72,27,1034,0,0,5.96,25.02,36.197514,211.21422,2270.3207
10.07,28,1034.1,0,0,7.07,14.74,49.073008,223.65641,1063.8302
9.38,32,1033.9,0,0,9.42,6.58,62.37114,234.50308,86.817611
6.54,47,1035.1,0,0,7.92,360,105.86656,216.06756,9.6666667
2.18,24,1038.5,0,0,7.15,229.09,58.845824,128.19736,513.90842
2.41,25,1038.4,0,0,7.7,232.59,45.485379,139.51405,1076.7197
4.21,33,1039.3,0,0,6.49,236.31,32.896851,152.39916,1018.7148
6.9,36,1039,0,0,3.96,270,22.691118,166.76722,2307.0852
9.29,30,1037.6,0,0,6.49,19.44,19.107739,182.12489,2261.3353
11.86,26,1036.5,0,0,5.69,18.43,24.953054,197.12913,1706.41
12.47,26,1036.5,0,0,9.11,18.43,36.063181,211.15002,1385.8102
11.99,30,1036.7,0,0,10.83,15.42,48.947246,223.61621,547.77553
11.32,33,1036.5,0,0,10.93,17.24,62.1479,234.39741,61.566961
3.77,35,1039.1,0,0,6.99,235.49,58.9765,128.02444,419.20845
4.01,36,1039.6,0,0,6.83,251.57,45.55898,139.36964,1371.9036
6.66,34,1039.7,0,0,5.41,266.19,32.941458,152.25258,2154.5695
9.29,40,1038.3,0,0,2.97,284.04,22.67679,166.63244,2456.0311
12.26,33,1037.5,0,0,4.84,318.01,19.004469,181.90286,2536.1985
13.77,30,1036.6,0,0,5.51,348.69,24.813234,197.04081,2462.3889
14.43,30,1036.6,0,0,7.59,354.56,35.926593,211.09034,2202.6894
14.58,30,1036.4,0,0,9.01,357.71,48.820772,223.58144,1046.8986
14.04,32,1036.6,0,0,9.37,357.8,62.14581,234.4662,88.940216
4.25,30,1038.8,0,0,6.61,209.36,59.024684,127.90935,418.46229
4.28,31,1038.6,0,0,6.3,210.96,45.734575,139.12312,1300.4193
5.76,35,1038.4,0,0,5.5,211.61,32.981515,152.10722,2143.0744
8.47,40,1037.1,0,0,1.8,233.13,22.656758,166.49739,2436.7275
11.34,33,1035.3,0,0,2.9,29.74,18.896941,181.78886,2534.3489
12.25,29,1034.3,0,0,7.79,33.69,24.669091,196.95568,2477.8934
12.6,30,1033.5,0,0,9.51,29.48,35.787961,211.03516,2206.8945
12.66,31,1033.5,0,0,6.7,36.25,48.693732,223.55205,1040.8729
12.4,33,1032.7,0,0,7.59,31.43,62.033585,234.45672,93.423875
1.92,73,1034.2,0,0,15.48,178.67,59.11072,127.75963,425.30454
1.51,80,1035.2,0,0,15.86,177.4,45.676492,139.09168,1355.1012
4.38,76,1034.8,0,0,15.5,177.34,33.017211,151.96007,2122.2185
7.8,67,1032.8,0,0,16.24,176.19,22.630859,166.3621,2430.8578
10.07,58,1031.7,0,0,14.47,174.29,18.782814,181.67644,2549.7753
12.65,38,1028,0,0,4.69,147.53,24.520556,196.87383,2505.5434
13.28,39,1027.2,0,0,4.83,116.57,35.647353,210.98459,2236.1667
13.36,42,1027.2,0,0,5.35,109.65,48.566224,223.52814,1079.7043
12.68,49,1027.5,0,0,5.69,124.7,61.921788,234.45328,97.017519
0.62,45,1031.7,0,0,7.7,217.41,59.194427,127.6062,445.47816
0.82,44,1031.9,0,0,7.65,228.81,45.760553,138.9187,1411.1547
3.32,45,1032.3,0,0,5.19,236.31,33.020593,151.84501,2212.9796
7.06,47,1030.9,0,0,3.32,319.4,22.599143,166.22665,2522.2383
9.36,34,1029.1,0,0,7.73,332.24,18.662127,181.56566,2625.5014
8.86,41,1026.8,0,0,10.08,360,24.367718,196.79534,2577.2011
9.23,42,1027.1,0,0,10.5,5.91,35.504891,210.93869,2283.7003
9.21,44,1027,0,0,10.95,9.46,48.438368,223.50976,1086.2028
8.64,48,1027,0,0,9.53,10.89,61.810516,234.45592,103.20437
-2,99,1036.6,0,0,7.65,221.19,59.16669,127.53295,455.91293
-1.77,92,1037,0,0,9.18,228.18,45.82124,138.7627,1417.3211
0.78,81,1037.1,0,0,6.92,231.34,32.972619,151.77289,2224.3277
4.01,70,1036.3,0,0,4.02,243.43,22.528242,166.15308,2549.8831
6.32,62,1035.1,0,0,1.3,326.31,18.53492,181.45661,2637.6611
8.03,45,1030.6,0,0,6.19,35.54,24.210671,196.72028,2567.6217
8.93,42,1030.1,0,0,8.37,25.46,35.360702,210.89752,2293.5854
9.11,43,1030.5,0,0,10.59,17.82,48.310286,223.49696,1167.8618
8.46,47,1030.6,0,0,10.37,20.32,61.69987,234.46465,114.485
-0.48,56,1041.5,0,0,7.9,226.85,59.354669,127.28859,473.56029
-0.38,49,1042.1,0,0,7.9,226.85,45.878645,138.60401,1441.6025
1.6,43,1042.8,0,0,6.99,214.51,34.916885,149.40834,2175.1235
1.52,38,1046.8,0,0,10.32,209.25,59.459979,127.1029,487.39034
2.2,34,1046.6,0,0,10.5,202.17,45.932756,138.4427,1394.0949
4.7,34,1046.6,0,0,10.48,195.95,33.116754,151.3552,2183.2921
8.01,38,1045.1,0,0,7.57,182.73,22.469629,165.8201,2499.1097
10.59,33,1044,0,0,5.96,154.98,18.261132,181.24394,2675.5011
12.3,48,1042.4,0,0,9.45,17.74,23.884365,196.58075,2568.4284
12.29,50,1042.1,0,0,11.17,20.77,35.067678,210.82967,2246.8706
12,52,1042.2,0,0,11.38,18.43,48.057721,223.49136,1169.1853
11.88,52,1041.9,0,0,10.16,22.93,61.594298,234.58905,115.48638
3.45,26,1042.3,0,0,10.23,230.71,59.505047,126.95723,506.59034
3.47,31,1041.4,0,0,8.71,231.71,45.983564,138.27885,1437.5185
6.18,41,1041.2,0,0,5.69,251.57,33.120046,151.215,2222.6927
9.49,40,1040,0,0,2.62,285.95,22.415204,165.68476,2533.2102
12.46,36,1038.8,0,0,3.4,327.99,18.108999,181.05875,2627.5657
14.32,27,1032.5,0,0,6.88,276.01,23.715326,196.51641,2554.7255
15.06,26,1034.2,0,0,7.1,329.53,34.919123,210.80309,2281.9892
14.87,26,1033.3,0,0,14.04,358.53,47.925942,223.49251,1107.7147
13.49,33,1034.9,0,0,9.03,355.43,61.372756,234.52776,130.56522
0.83,78,1035.4,0,0,7.59,275.44,59.576432,126.78663,33.746162
1.42,81,1034.2,0,0,7.07,284.74,46.031062,138.11256,335.80854
5.24,71,1033.7,0,0,6.99,348.11,33.140946,151.04407,2133.7886
7.68,68,1035,0,0,12.24,360,22.385128,165.50514,2506.0048
8.16,68,1033.3,0,0,15.28,15.02,17.952533,181.16953,2555.6055
8.66,67,1033.3,0,0,20.43,14.28,23.542523,196.45579,2361.4471
8.87,71,1034.2,0,0,18.89,7.67,34.769401,210.7815,2239.379
9.01,70,1033.6,0,0,12.68,6.52,47.798229,223.50249,1209.1943
9.08,69,1031.9,0,0,15.28,15.02,61.265693,234.56117,116.31498
-0.13,93,1036.2,0,0,15.23,186.79,59.64523,126.61287,503.15395
-0.2,94,1036.6,0,0,18.09,185.71,46.075248,137.9439,1400.0511
2.91,84,1036,0,0,19.08,180,33.146766,150.8866,2166.6904
5.95,73,1034.2,0,0,21.25,178.06,22.289876,165.41479,2542.4739
8.24,64,1032.7,0,0,20.28,173.88,17.800296,181.04397,2677.5709
10.28,44,1029.3,0,0,13.98,168.11,23.366081,196.39896,2607.0784
10.75,45,1029.1,0,0,16.74,161.18,34.618664,210.76496,2304.9839
10.63,44,1028.7,0,0,21.31,164.32,47.670941,223.51827,1244.6791
9.72,48,1029.1,0,0,22.1,167.77,61.159809,234.60081,135.79522
-0.97,67,1029.2,0,0,13.32,218.42,59.711404,126.43606,445.91228
-1.12,73,1030.2,0,0,14.51,223.99,46.116121,137.77297,1353.1714
2.55,63,1029,0,0,12.31,232.13,33.148459,150.72797,2127.6647
7.45,52,1026.1,0,0,12.56,242.7,22.219137,165.2803,2437.0792
10.78,38,1024.3,0,0,21.32,258.31,17.637551,180.84246,2568.2777
12.61,31,1023.7,0,0,22.31,259.78,23.18615,196.34598,2350.5334
12.67,32,1023.2,0,0,22.7,255.3,34.467074,210.75351,968.71618
12.57,34,1022.4,0,0,21.22,255.26,47.544217,223.53989,233.24195
12.09,37,1022.3,0,0,21.54,260.38,61.055217,234.64669,40.214319
3.69,97,1027.4,0.1,0,10.44,313.6,59.774919,126.25627,480.82352
3.03,98,1027.7,0.1,0,7.79,303.69,46.153679,137.59984,1400.3916
4.92,82,1027.1,0,0,5.8,299.74,33.14606,150.56824,2190.3046
5.93,76,1027.6,0,0,3.32,282.53,22.143084,165.14625,2537.5603
7.28,69,1026.3,0,0,2.6,236.31,17.466135,180.74748,2689.5167
9.45,65,1025.4,0,0,3.98,354.81,23.002835,196.29693,2590.2565
10.17,62,1024.3,0,0,2.55,315,34.314784,210.74723,2268.1099
10.88,58,1023.6,0,0,5.41,266.19,47.393687,223.54443,1249.0877
11.03,59,1022.8,0,0,5.62,230.19,60.952041,234.69882,143.9723
10.88,60,1022.6,0,0,7.07,194.74,106.69672,215.21543,16.101307
0.79,93,1020.6,0,0,20.18,195.52,59.83574,126.07362,491.01385
2.61,91,1019.1,0,0,23.22,199,46.187931,137.42462,589.7025
5.84,77,1018.4,0,0,30.49,202.93,33.139627,150.40752,1522.622
7.08,71,1017.3,0,0,30.92,207.76,22.061843,165.0127,690.96898
8.51,64,1015.3,0,0,30.57,212.01,17.288684,180.65482,291.16097
8.96,55,1015.2,0,0,28.4,210.47,22.816323,196.25188,177.40503
9.17,53,1013.9,0,0,29.27,211.93,34.161975,210.74617,156.05012
7,69,1013.6,0,0,29.39,210.96,47.29302,223.6008,123.7152
7.01,74,1013.3,0,0,28.66,206.89,60.736301,234.67098,17.422826
-2.16,94,1016.2,0,0,31.26,302.77,60.008276,125.80142,162.85673
-3.41,97,1016.9,0,0,23.34,296.57,46.218879,137.24737,1416.8051
-0.57,75,1017.2,0,0,24.93,287.65,33.129206,150.24586,1549.9781
1.54,62,1016.2,0,0,22.91,278.13,21.879876,165.03328,1717.2196
2.77,57,1015.7,0,0,25.96,273.18,17.105247,180.56453,1463.1401
1.86,69,1016.5,0,0,42.33,303.55,22.626764,196.2109,774.13052
2.72,63,1016,0,0,43.53,304.22,34.00882,210.75038,202.27496
2.62,68,1016.3,0,0,42.24,302.47,47.168844,223.64017,332.33587
2.5,73,1017.1,0,0,41.14,302.86,60.750413,234.8219,177.91597
-5.35,82,1028.9,0,0,15.94,276.48,59.962798,125.6905,553.33489
-4.92,84,1028.8,0,0,14.83,275.57,46.24653,137.06821,1457.4705
-1.68,75,1028.2,0,0,14,287.97,33.114848,150.08337,2219.2605
1.3,61,1026.6,0,0,18.2,294.54,21.884109,164.74744,2595.2027
2.34,59,1025.8,0,0,20.77,297.9,16.915904,180.47672,2724.477
4.5,31,1024.7,0,0,7.79,303.69,22.434327,196.17407,2668.6514
5.21,27,1023.4,0,0,7.63,289.29,33.855504,210.75993,2415.1739
5.6,26,1022.8,0,0,8.05,280.3,47.045819,223.68551,1160.2291
5.58,27,1022.2,0,0,9.01,267.71,60.652214,234.89287,127.90982
-0.93,89,1014.9,0.2,0,46.8,180.44,59.77182,125.68362,7.6198024
-0.64,88,1014.1,0.2,0,46.44,180,46.270887,136.88722,164.66754
0.34,84,1014.5,0.2,0,48.24,180,33.127877,149.88763,315.74279
1.02,80,1013.8,0.1,0,48.24,180,21.787798,164.61589,316.44196
1.62,77,1012.5,0.1,0,46.81,181.32,16.729554,180.38464,870.24529
1.22,77,1012.7,0,0,45.01,172.65,22.239193,196.14147,902.17283
1.82,76,1012.5,0,0,42.34,174.14,33.702217,210.77488,357.74893
2.5,76,1012,0,0,40.06,175.88,46.924101,223.73688,125.95566
1.83,81,1010.4,0,0,37.65,173.96,60.555932,234.97013,25.226724
-3.59,94,1015.8,0,0,45.67,20.29,44.277769,138.49077,0.060569106
-3.08,94,1017.7,0,0.07,42.18,15.34,33.074579,149.75625,19.060523
-2.18,92,1017,0,0.07,46.33,18.58,21.686838,164.48521,155.21215
-1.2,79,1016.2,0,0,48.55,23.14,16.52021,180.3088,1137.9982
0.05,68,1016.3,0,0,40.38,21.99,22.041724,196.11313,2176.6919
0.81,64,1015.9,0,0,39.39,18.1,33.549205,210.79523,2204.0698
1.29,62,1016,0,0,36.36,11.42,46.803868,223.79425,1544.6314
1.51,64,1015.3,0,0,33.99,5.47,60.461693,235.05367,226.21317
-1.95,91,1013.5,0,0,8.59,236.98,60.213583,125.03395,480.20512
-1.24,79,1012.5,0,0,12.5,258.37,46.309746,136.52016,568.66697
-2.19,86,1013.8,0,0.07,14.69,281.31,33.048672,149.5917,639.75016
-1.85,86,1013.6,0.1,0.28,13.83,308.66,21.580768,164.35537,705.53718
-0.86,87,1012.3,0.1,0.42,17.48,327.62,16.313284,180.22888,709.37222
0.86,81,1010.6,0.2,0.07,11.02,321.63,21.841608,196.08925,595.21168
1.82,76,1010.2,0.1,0,13.76,317.12,33.396534,210.82121,288.75358
2.28,78,1009.6,0,0,17.38,320.04,46.68524,223.85783,120.28781
2.12,81,1010.5,0,0,21.18,328.2,60.174983,234.99589,54.593671
2.3,85,1010.1,0,0.14,25.74,339.54,107.16705,215.04426,10.725232
-4.36,96,1017.1,0,0,19.96,309.14,60.142185,124.92334,176.33224
-3.85,91,1016.6,0,0,23.4,300.51,48.078984,135.32166,555.61982
1.18,80,1013.9,0,0,41.25,302.16,16.671723,186.61222,487.8004
1.28,84,1011,0.3,0.35,43.01,298.5,21.639563,196.06981,769.56467
2.37,82,1010.2,0.3,0.28,48.7,318.3,33.244549,210.85274,411.2987
2.27,79,1010.6,0.4,0.14,46.01,322.95,46.568426,223.92748,435.15191
1.71,79,1010.5,0.4,0.14,41.94,327.26,56.223037,232.11495,46.973611
-1.93,92,1017.1,0.4,0,41.75,315.7,46.335509,136.14697,0.88722222
-0.92,87,1018.8,0.3,0,40.49,316.8,32.985843,149.26133,38.837352
0.03,85,1018.7,0,0,40.61,322.93,21.355186,164.09888,43.892087
0.99,85,1018.2,0,0,40.76,335.47,15.883609,180.07755,68.468864
1.78,74,1017.7,0,0,41.32,341.72,21.435635,196.05492,44.855
2.18,74,1018.3,0,0,40.9,343.64,33.093417,210.88991,26.84328
2.64,72,1018.5,0,0,39.3,351.57,46.453577,224.0033,21.373333
2.73,73,1018.1,0,0,39.25,358.42,60.192626,235.34236,9.8601908
-2.99,94,1027.7,0,0.07,15.58,353.37,60.221244,124.52181,39.840833
-3.27,96,1028.5,0,0,14.76,360,46.343508,135.95831,193.89462
-2.62,90,1029.9,0,0,14.41,12.99,32.94899,149.09564,674.70417
-1.26,83,1029.4,0,0,18.68,25.08,21.285403,163.89503,1512.4509
-0.13,79,1029.2,0,0,23.83,26.95,15.660676,180.00632,2386.7665
2.33,64,1027.9,0,0,21.63,18.43,21.230043,196.04466,1902.4103
3.12,59,1027.2,0,0,22.55,16.7,32.943347,210.9328,1494.7838
3.52,54,1027,0,0,22.18,13.13,46.340854,224.08532,507.36284
3.58,54,1027,0,0,22.51,7.35,60.107916,235.45124,112.26474
3.17,56,1026.9,0,0,22.01,3.75,107.42,215.01312,26.661348
-2.86,68,1032.4,0,0,5.4,360,60.256318,124.31812,480.965
-2.79,70,1032.2,0,0,5.86,349.38,46.348278,135.7684,1610.4259
-0.48,62,1031.9,0,0,9.72,360,32.908601,148.9297,2332.3159
0.86,54,1032.8,0,0,15.63,14.68,21.111896,163.84708,2664.7049
2.62,45,1031.7,0,0,18.67,19.13,15.432475,179.93814,2899.872
3.86,47,1031,0,0,20.61,27.01,21.023016,196.03911,2822.5761
5.02,44,1030.6,0,0,21.43,29.15,32.737846,210.9194,2520.3628
5.72,44,1030.7,0,0,21.41,27,46.230416,224.17356,1566.4214
5.68,48,1029.7,0,0,19.67,23.75,60.025904,235.56645,232.96167
5.14,55,1030,0,0,16.85,19.98,107.50654,215.01028,34.047386
-3.08,96,1035.7,0,0,5.4,360,60.288403,124.11262,451.43028
-3.9,100,1036.9,0,0,4.74,8.75,46.349846,135.57732,457.51195
-1.45,75,1036.7,0,0,7.79,33.69,32.864753,148.7636,2283.9918
0.9,50,1035.2,0,0,11.11,24.9,20.983902,163.72313,2709.7533
2.45,44,1034.6,0,0,15.46,24.78,15.19911,179.87309,2898.309
4.01,45,1033.4,0,0,19.48,16.09,20.814784,196.03833,2839.5309
4.94,40,1032.5,0,0,21.13,13.8,32.647237,211.03592,2517.6672
5.6,38,1032.2,0,0,22.01,15.17,46.126298,224.27123,1643.3694
5.72,38,1031.7,0,0,22.7,14.7,60.063468,235.77953,240.32569
5.23,40,1030.9,0,0,20.62,12.09,107.59409,215.01105,12.823696
0.22,34,1031.9,0,0,11.53,345.53,60.317494,123.90539,622.10833
0.63,37,1032.3,0,0,10.74,346.43,46.348249,135.38514,1555.0839
3.36,35,1032.1,0,0,9.69,344.93,32.817529,148.59741,2207.8295
4.66,31,1032.2,0,0,11.88,360,20.851847,163.60056,2033.3861
5.7,31,1031.4,0,0,13.63,12.2,14.96069,179.81123,1495.0268
6.77,51,1030.7,0,0,14.78,2.79,20.605587,196.04239,1601.2917
7.57,51,1030.4,0,0,16.6,3.73,32.501613,211.09624,1587.797
7.9,49,1030.5,0,0,17.02,6.07,46.017,224.36879,900.9568
7.61,52,1029.5,0,0,17.06,7.28,59.870431,235.81581,175.41141
6.84,55,1030.3,0,0,15.68,9.25,107.68261,215.01532,25.198679
-0.22,97,1032.8,0,0,0.36,180,60.343597,123.69653,65.334722
0.4,94,1033.1,0,0,1.3,326.31,46.343532,135.19193,128.55614
1.97,88,1032.9,0,0,5.86,42.51,32.767024,148.43117,213.53037
3.69,78,1032,0,0,10.23,39.29,20.715871,163.47942,529.23609
5.35,71,1031.2,0,0,12.77,21.5,14.717325,179.75263,801.21361
7.23,65,1030.5,0,0,16.6,24.34,20.395668,196.05134,1120.3043
8.01,64,1029.9,0,0,18.46,20.56,32.357883,211.16246,522.36722
8.15,64,1030.1,0,0,21.53,20.56,45.91431,224.47579,694.42378
7.73,65,1028.8,0,0,20.43,14.28,59.797177,235.94993,197.23395
6.98,69,1028.6,0,0,19.88,5.19,107.77202,215.023,29.081699
-2.11,97,1031,0,0,4.68,247.38,60.366723,123.48612,600.64111
-1.73,91,1030.6,0,0,4.21,289.98,46.335747,134.99776,1563.6986
2.06,75,1030.4,0,0,6.73,344.48,32.713338,148.26495,2254.5837
4.49,63,1029.2,0,0,12.62,356.73,20.576122,163.35977,2634.1726
5.72,51,1028.1,0,0,14.78,357.21,14.469131,179.69734,2805.2676
6.46,64,1027.4,0,0,15.33,350.54,20.185275,196.06522,2768.1883
7.7,50,1026.4,0,0,15.54,346.61,32.216246,211.23459,2471.2245
8.44,49,1025.7,0,0,16.52,348.69,45.814478,224.58904,1233.002
8.25,53,1025.1,0,0,20.01,351.72,59.727037,236.09029,279.1891
7.62,58,1025,0,0,20.77,351.03,107.86229,215.03395,44.6431
3.41,89,1021.2,0,0,18.12,290.96,60.386895,123.27422,469.03596
4.89,78,1019.7,0,0,21.19,290.9,46.319282,134.80919,1433.8985
6.01,71,1019,0,0,24.54,292.43,32.656581,148.09878,1932.6989
7.08,57,1018,0,0,27.24,299.28,20.432759,163.24165,1754.4959
8.39,47,1016.6,0,0,31.45,303.33,14.216229,179.64539,612.54616
9.78,41,1014.7,0,0,31.56,295.69,19.974663,196.08408,115.7372
10.82,54,1013.4,0,0,33.65,296.02,32.0769,211.31266,209.28936
11.48,58,1012,0,0,37.36,295.08,45.717632,224.70855,178.17393
11.4,67,1011,0,0,43.39,292.95,59.660096,236.23686,240.54478
10.43,75,1010.4,0,0,46.06,291.55,121.4087,247.49936,3.9839181
6.23,87,1003.4,0,0,43.73,292.77,60.40414,123.0609,212.73694
6.5,85,1003,0,0,45.46,290.87,46.311223,134.60677,928.17262
7.27,80,1002.8,0,0,47.66,291.72,32.596869,147.93271,814.1026
8.06,77,1002.1,0,0,48.6,292.2,20.285948,163.12509,1170.5806
8.78,74,1001.3,0,0,48.94,296.19,13.958742,179.59682,751.5643
10.41,81,1001.9,0.1,0,47.52,294.62,19.764091,196.10794,258.036
11.15,78,1000.9,0.1,0,47.23,293.83,32.048902,211.5193,77.371552
11.65,77,1000.3,0.2,0,43.86,290.67,45.735938,224.93703,151.54448
11.42,81,999.2,0,0,43.12,292.07,59.706246,236.4755,3.274586
10.83,82,998.3,0,0,42.05,291.07,108.04516,215.06522,5.625
2.12,90,997.5,0.8,0.63,36.93,316.97,60.418493,122.84624,365.87528
1.28,91,998.5,0.3,0.21,36.74,318.97,46.294625,134.41003,1020.2754
1.12,90,1000.9,0,0.28,35.97,318.65,32.534323,147.76675,2046.7212
1.02,87,1001.9,0,0.21,37.97,317.69,20.135863,163.01011,1770.4435
1.07,84,1002.3,0,0.07,38.72,317.26,13.6968,179.55167,1479.5331
1.86,74,1002.7,0,0.07,39.46,324.28,19.553826,196.13685,1197.0767
2.35,74,1003.7,0.1,0.14,40.35,325.18,31.80585,211.48668,1779.7003
1.9,72,1004.8,0.2,0.14,41.35,324.93,45.533375,224.96626,2084.9414
1.83,70,1004.8,0.2,0.14,39.6,323.13,59.507561,236.5258,366.52784
1.31,69,1005.6,0.1,0.07,39.19,321.34,121.63592,247.69716,37.264069
-3.58,93,1016.7,0,0,40.78,312.14,60.429995,122.63029,612.4965
-3.44,92,1016.8,0,0,41.86,310.82,46.275239,134.21253,1516.1773
-2.04,89,1017.6,0,0,45.36,312.43,32.469073,147.60095,2128.6253
-0.62,81,1017,0,0,49.55,319.71,19.982686,162.89674,2607.9262
0.15,78,1016.6,0,0,53.03,325.23,13.430535,179.50996,2741.3694
1.62,61,1017.6,0,0,48.14,332.86,19.317454,196.12655,1843.9107
3.29,51,1016.7,0,0,48.31,332.48,31.674525,211.58263,1555.8217
3.43,53,1016.4,0,0,45.83,327.18,45.432519,225.09076,1418.3475
2.82,58,1016.6,0,0,44.83,325.8,59.479207,236.71346,325.89532
0.03,86,1014.9,0.3,0,31,282.75,60.438692,122.4131,109.07939
-0.02,86,1013.9,0.3,0,29.96,274.13,46.253147,134.0143,232.56139
1.44,79,1013.6,0.3,0,32.43,272.54,32.40125,147.43533,696.74
2.38,72,1012.4,0.1,0,37.81,268.91,19.826606,162.785,424.49561
2.74,73,1010.6,0,0,45.74,268.2,13.160088,179.47171,162.37921
2.88,82,1008.8,0.3,0.14,49.76,250.12,19.135323,196.20988,1199.4147
4.52,75,1007,0.4,0,52.97,260.22,31.479666,211.6126,344.17139
3.51,81,1006.8,0.2,0,51.84,270,45.362445,225.24875,662.075
4.82,77,1005.3,0.3,0,47.47,276.53,59.532164,236.96753,136.57458
5.33,76,1004.8,0,0,48.47,285.07,108.32456,215.13356,38.921569
-0.67,93,1007.9,0.1,0.21,40.93,320.71,60.444631,122.19472,214.66867
-0.78,93,1008.1,0,0.21,39.22,316.49,46.228438,133.81536,435.98026
-0.22,87,1008.3,0,0.28,39.71,315,32.330991,147.26989,540.26354
0.54,82,1008.1,0,0.07,38.95,313.88,19.667821,162.6749,609.03444
1.41,81,1007.8,0,0,38.2,313.47,12.885606,179.43696,1231.1073
3.11,83,1004.3,0.1,0.14,37.92,289.98,18.92766,196.25404,1338.748
3.79,80,1003.3,0,0.07,40.35,285.52,31.421212,211.79247,1533.5819
4.08,80,1003,0,0,42.35,284.27,45.282242,225.39924,274.12224
3.5,82,1001.6,0,0.14,44.4,288.43,59.375875,237.06142,209.04958
-4.33,92,1010.1,0,0,54.4,346.61,32.258436,147.10466,61.186944
-2.87,87,1009.8,0,0,61.18,353.92,19.506537,162.56645,37.113781
-2.28,83,1009.6,0.1,0,59.89,356.21,12.60724,179.4057,44.916886
-1.54,70,1010.7,0.1,0,53.46,8.13,18.721458,196.30333,63.474352
-0.75,65,1011.2,0.1,0,55.92,11.89,30.544968,211.10917,11.048742
-1.28,66,1011.8,0,0,55.63,15.39,45.161802,225.53255,3.5764493
-3.39,93,1020.5,0,0.21,45.32,353.16,32.183729,146.93965,0.009444444
-2,83,1020,0,0,48.97,0.84,12.325154,179.37797,199.56072
-1.15,72,1020.7,0,0,50.06,7.02,18.517028,196.35775,621.0319
-0.47,63,1020.4,0,0,47.2,7.45,31.181577,212.02621,1270.4655
0.44,54,1020.1,0,0,52.32,10.3,45.132854,225.71852,378.96399
0.35,55,1019.2,0,0,49.07,3.79,59.406217,237.52286,155.8639
0.36,55,1018.9,0,0,49.35,2.09,71.2682,246.27917,16.274753
-4.02,92,1017.4,0.1,0.28,38.98,338.89,60.56588,121.44417,60.412381
-3.82,92,1018.1,0.1,0.21,34.86,343.81,46.139505,133.21466,213.16447
-3.09,91,1018.8,0.1,0.21,32.14,4.5,32.107017,146.77487,411.75982
-2.66,77,1018.7,0,0.07,27.61,12.04,19.17733,162.35456,946.81661
-1.64,62,1018.1,0,0,29.66,10.49,12.039518,179.35378,770.66778
-4.53,93,1021,0.4,0.21,28.45,1.45,60.561577,121.22141,0.22459016
-3.84,92,1021.3,0.3,0.28,32.56,5.71,46.087246,133.03046,65.507917
-3.47,87,1021.4,0.2,0.14,32.36,25.71,32.028452,146.61033,69.335871
